"","trait","light","light_sd","SST","SST_sd"
"1","cc","","","",""
"2","chla","*","","",""
"3","chlb","","*","","*"
"4","chlc","","*","","*"
"5","chlca","","*","","*"
"6","dens","","*","*",""
"7","h13c","*","*","*","*"
"8","h15n","*","","*",""
"9","HCN","*","*","",""
"10","hpro","","","*","*"
"11","s13c","","","",""
"12","s15n","*","","*",""
"13","sc","","*","",""
"14","SCN","","","*","*"
"15","spro","","*","",""
