codeP,date,spe,sp_check,region,site,depth,season,P,I,Volume,Weight,Surface,Vi,V.bio,W.fil,W.fil.tis,W.fil.tis.bur,countS.1,countS.2,countS.3,countS.4,countS.5,countS.6,countC.1,countC.2,countC.3,countC.4,countC.5,countC.6,V.chl.slurry,V.extraction.T,V.extraction.S,A750T,A664T,A647T,A630T,A750S,A664S,A647S,A630S,SDS1V,V.prot.slurry,STC,STCX4,STCX3,STCX2,STCX1,STCE,abs.prot.blank,abs.prot.zoox1,abs.prot.zoox2,abs.prot.zoox3,abs.prot.host1,abs.prot.host2,abs.prot.host3,STC-2 (for host),STCX4b,STCX3b,STCX2b,STCX1b,STCEb,abs.prot.blank.b,Hdelta15N,Hdelta13C,Zdelta15N,Zdelta13C,H_N%,H_C%,Z_N%,Z_C%,SST_mean,SST_sd,light_mean,light_sd
ACPSS4,21/07/2017,A. muricata,1,GI,Guiwan ,10,s,1,1,9149.125977,10.3551,9435.504883,20,1,0.089,0.1081,0.1004,358,338,312,298,400,NA,194,168,130,180,128,NA,1,10,10,0.014,0.064,0.028,0.028,0.16,0.337,0.211,0.214,2,5,STC.2019.06.13,-184.76,685.63,-603.7,884.1,-6.4908,0.085966667,1.4591,1.5377,1.5677,2.03,1.851,1.9642,STC.2019.06.13,-16.535,17.559,117.69,787.66,2.8687,0.090666667,2.868,-13.749,2.839,-14.676,1.0404764,8.3150734,6.5940773,52.3514828,28.34967213,1.07605602,44.06271592,4.294457341
ACPSS5,21/07/2017,A. muricata,1,GI,Guiwan ,10,s,1,1,9611.666992,16.4427,8228.452148,10,1,0.0922,0.1059,0.1018,139,153,153,128,124,NA,38,45,74,63,65,NA,1,10,10,0.001,0.128,0.038,0.041,0.203,0.245,0.217,0.219,2,5,STC.2019.06.13,-184.76,685.63,-603.7,884.1,-6.4908,0.085966667,0.7736,0.7675,0.7994,0.8405,0.847,0.8671,STC.2019.06.13,-16.535,17.559,117.69,787.66,2.8687,0.090666667,3.236,-14.273,2.826,-14.654,0.6900668,6.3666551,6.5795293,52.9398945,28.34967213,1.07605602,44.06271592,4.294457341
ACPSS6,21/07/2017,A. muricata,1,GI,Guiwan ,10,s,1,1,5332.700195,6.9871,5514.60498,10,1,0.0906,0.1094,0.1028,320,330,350,348,332,NA,124,160,92,80,110,NA,1,10,10,0,0.128,0.036,0.041,0.184,0.288,0.216,0.217,2,5,STC.2019.06.13,-184.76,685.63,-603.7,884.1,-6.4908,0.085966667,1.7643,1.7389,1.8347,1.9019,1.9288,1.9651,STC.2019.06.13,-16.535,17.559,117.69,787.66,2.8687,0.090666667,3.453,-14.589,2.617,-14.716,0.9009186,6.5756272,6.5024309,52.0826637,28.34967213,1.07605602,44.06271592,4.294457341
CYPS1,8/2/2017,C. microphthalma,1,GI,Guiwan ,10,w,1,1,12954.2441,20.5006,4296.1406,10,1,0.0893,0.1078,0.102,165,185,175,200,170,145,20,40,31,54,46,49,3,10,10,-0.002,0.197,0.056,0.059,-0.001,1.43,0.609,0.4,3,5,STC.2017.12.25,-5.6885,-18.664,257.41,584.9,1.1277,0.08825,0.6666,0.6671,NA,1.3259,1.3386,NA,NA,NA,NA,NA,NA,NA,NA,3.107,-16.519,4.185,-15.34,0.303009,2.3207965,4.8844597,46.0622422,25.10322581,0.186429381,23.55455652,5.33163119
CYPS4,8/2/2017,C. microphthalma,1,GI,Guiwan ,10,w,1,1,7848.6904,14.1326,3082.2935,10,1,0.0898,0.1095,0.1033,133,176,195,130,165,135,32,25,31,21,20,24,3,10,10,-0.002,0.316,0.089,0.094,0.004,1.242,0.647,0.35,3,5,STC.2017.12.25,-5.6885,-18.664,257.41,584.9,1.1277,0.08825,0.7699,0.8197,NA,1.224,1.2399,NA,NA,NA,NA,NA,NA,NA,NA,2.339,-16.277,2.197,-16.789,0.3286472,2.5311685,4.063545,34.453423,25.10322581,0.186429381,23.55455652,5.33163119
CYPS6,9/2/2017,C. microphthalma,1,GI,Guiwan ,10,w,1,1,8692.0371,16.2088,3023.0784,10,1,0.0891,0.1071,0.1022,155,180,120,134,140,170,26,24,11,23,18,29,3,10,10,-0.003,0.218,0.059,0.067,0.002,1.693,0.891,0.463,3,5,STC.2017.12.26,-5.6885,-18.664,257.41,584.9,1.1277,0.08825,0.7795,0.7678,NA,0.9891,1.0036,NA,NA,NA,NA,NA,NA,NA,NA,-0.123,-14.661,3.612,-15.207,0.5493507,4.3161107,4.0480424,31.0442481,25.10322581,0.186429381,23.55455652,5.33163119
CYPS9,9/2/2017,C. microphthalma,1,GI,Guiwan ,10,w,1,1,28819.3594,58.5801,6742.7944,11,1,0.0888,0.1086,0.1022,330,380,275,340,350,360,93,102,62,108,69,50,3,10,10,-0.002,0.381,0.11,0.109,0.004,1.786,1.155,0.561,3,5,STC.2017.12.26,-5.6885,-18.664,257.41,584.9,1.1277,0.08825,1.0147,1.016,NA,1.3057,1.3397,NA,NA,NA,NA,NA,NA,NA,NA,3.216,-13.474,3.25,-14.44,0.9041764,9.8137145,5.9093394,46.3672515,25.10322581,0.186429381,23.55455652,5.33163119
CYPS11,14/02/2017,C. microphthalma,1,GI,Guiwan ,10,w,1,1,18927.1289,12.655,10305.5811,11,1,0.0905,0.1116,0.1048,265,165,295,270,225,240,34,30,15,16,31,26,3,10,10,-0.002,0.38,0.109,0.12,0.002,0.845,0.588,0.275,3,5,STC.2017.12.26,-5.6885,-18.664,257.41,584.9,1.1277,0.08825,1.167,1.119,NA,1.259,1.2806,NA,NA,NA,NA,NA,NA,NA,NA,0.356,-15.71,3.362,-15.604,0.6368384,5.7821943,4.8775945,38.5700404,25.10322581,0.186429381,23.55455652,5.33163119
CYPD5,8/2/2017,C. microphthalma,1,GI,Guiwan ,40,w,1,1,4383.0029,7.1315,4655.4141,10,1,0.0891,0.1078,0.1023,185,145,205,110,215,215,20,21,20,29,19,27,3,10,10,-0.004,0.183,0.051,0.053,0,0.828,0.46,0.246,3,5,STC.2017.12.26,-5.6885,-18.664,257.41,584.9,1.1277,0.08825,0.6296,0.6463,NA,0.9375,0.9626,NA,NA,NA,NA,NA,NA,NA,NA,1.371,-19.319,1.954,-18.853,0.3041467,2.4575108,4.1855143,33.2235089,25.10322581,0.186429381,8.22187065,2.703807284
CYPD8,12/2/2017,C. microphthalma,1,GI,Guiwan ,40,w,1,1,6167.4229,11.4219,4312.5557,10,1,0.0893,0.1061,0.1016,155,148,155,141,170,173,17,16,11,10,11,7,3,10,10,-0.003,0.148,0.041,0.047,0.002,1.132,0.65,0.302,3,5,STC.2017.12.26,-5.6885,-18.664,257.41,584.9,1.1277,0.08825,0.5383,0.522,NA,0.6437,0.6542,NA,NA,NA,NA,NA,NA,NA,NA,2.442,-17.415,3.243,-17.507,0.3797758,2.9500216,5.022801,38.6906518,25.10322581,0.186429381,8.22187065,2.703807284
