"","spe","dens","Sc","Cc","chla","chlb","chlc","chlca","Spro","Hpro","H13C","H15N","S13C","S15N","HCN","SCN","SST","SST_sd","light","light_sd","partition"
"1","A. muricata",0.00156010171268511,932727.272727271,57662.3376623376,5.12771038961038,0,1.60675714285714,0.313347872787961,75.5661914560403,191.628713462387,-13.839,6.063,-14.106,5.136,8.30991338906061,8.27158447310991,28.61901639,0.356364537,22.1440168,3.455177367,"3"
"2","A. muricata",0.0016284246784245,857857.142857142,11785.7142857143,4.73826964285714,0,1.4737125,0.311023350522399,59.6473907410372,175.050694317657,-14.137,5.669,-15.065,5.105,9.70829376522439,8.31060837814115,28.61901639,0.356364537,22.1440168,3.455177367,"3"
"3","A. muricata",0.0015994415418824,774074.074074074,50370.3703703704,3.72497407407407,0,1.33761481481481,0.359093724738825,92.9624732824398,203.881004995989,-15.411,5.235,-15.041,4.926,9.4978277697092,8.81191488307815,28.61901639,0.356364537,22.1440168,3.455177367,"3"
"4","A. muricata",0.00170158945431902,19333.3333333333,20666.6666666666,2.47781,0.134273333333333,0.907189999999999,0.366125731997207,60.269422030594,238.910042071586,-18.028,5.079,-18.549,4.05,6.13556663834726,7.33552803569018,27.54295082,1.263945337,20.80831681,2.063311939,"3"
"5","A. muricata",0.0015583421150582,165517.24137931,191034.482758621,1.66745172413793,0,0.453368965517241,0.271893308186558,57.4428531495387,144.841748356367,-15.898,2.749,-15.975,2.742,6.86303388603379,6.97169061721376,25.10322581,0.186429381,23.55455652,5.33163119,"1"
"6","A. muricata",0.0017535648309179,793333.333333335,68888.888888889,4.91254666666668,0,1.54746666666667,0.315002944840558,99.2976927184583,167.72851432416,-17.315,3.042,-17.455,3.197,7.65561224696496,6.88450470155964,25.10322581,0.186429381,23.55455652,5.33163119,"3"
"7","A. muricata",0.00149564307789537,713414.634146342,156097.56097561,3.66318292682927,0.0258719512195123,1.18680487804878,0.323981876350368,95.2128384230479,239.191497462866,-16.808,3.094,-16.982,2.817,6.56049844411809,6.75086161846971,25.10322581,0.186429381,23.55455652,5.33163119,"2"
"8","A. muricata",0.00171585124597517,518596.491228071,128070.175438597,1.40992456140351,0.0835964912280704,0.587177192982457,0.416460007192123,71.9186051735385,244.462849645462,-14.613,3.167,-14.864,2.501,7.7195990973099,8.24416740964692,28.34967213,1.07605602,44.06271592,4.294457341,"3"
"9","A. muricata",0.00169327555925297,28235.2941176471,38039.2156862746,1.18725294117647,0.0108627450980393,0.374033333333334,0.315040982726644,43.355725359006,178.051959158838,-16.349,2.052,-16.182,2.602,6.41513058116146,7.30441407369073,28.34967213,1.07605602,44.06271592,4.294457341,"1"
"10","A. muricata",0.00130747013178458,480000,203225.806451613,1.29136774193548,0.0279016129032258,0.492048387096775,0.381028866618039,68.7514570098225,284.169703869584,-15.555,2.854,-15.316,2.705,7.92967846806371,8.18990085554324,28.34967213,1.07605602,44.06271592,4.294457341,"3"
"11","A. muricata",0.00113181303066891,443116.883116883,207792.207792208,0.870843506493507,0,0.240811038961039,0.276526192324355,64.1367464216192,231.060603607668,-13.749,2.868,-14.676,2.839,7.99160211610758,7.93916728880324,28.34967213,1.07605602,44.06271592,4.294457341,"1"
"12","A. muricata",0.00171070221364157,340000.000000001,139024.390243903,3.63964878048781,0,1.24167804878049,0.341153260566552,48.3139447318296,162.187937522527,-14.273,3.236,-14.654,2.826,9.22614317918207,8.04615225286709,28.34967213,1.07605602,44.06271592,4.294457341,"3"
"13","A. muricata",0.0013102367927136,509090.90909091,171515.151515152,2.38807272727273,0,0.844224242424243,0.353516973240752,93.1767670550653,265.954746522691,-14.589,3.453,-14.716,2.617,7.2988027997202,8.00972197951385,28.34967213,1.07605602,44.06271592,4.294457341,"3"
"14","C. microphthalma",0.00158253926989071,308620.689655172,65862.0689655171,4.05730517241378,0.674886781609194,0.899204022988504,0.221625927746901,43.6006798058882,185.783803860555,-16.519,3.107,-15.34,4.185,7.65916688943233,9.43036590106374,25.10322581,0.186429381,23.55455652,5.33163119,"1"
"15","C. microphthalma",0.00180063160600653,257741.935483871,41612.9032258065,4.14849462365592,0.911562903225807,0.854923655913979,0.206080454109536,51.7756349188802,156.312525905445,-16.277,2.339,-16.789,2.197,7.70178020686012,8.47866161196689,25.10322581,0.186429381,23.55455652,5.33163119,"1"
"16","C. microphthalma",0.00186478725453208,297551.020408163,41632.6530612245,5.51530136054422,1.63524761904762,0.947710884353741,0.171833019158943,63.1450478497262,148.308499820005,-14.661,-0.123,-15.207,3.612,7.85674924961414,7.66895329456035,25.10322581,0.186429381,23.55455652,5.33163119,"1"
"17","C. microphthalma",0.00203266488983791,523437.5,135625,5.01079024621212,1.84315625,0.915829071969697,0.182771384745552,69.8963612865578,166.740036058425,-13.474,3.216,-14.44,3.25,10.8537609475319,7.84643567773413,25.10322581,0.186429381,23.55455652,5.33163119,"1"
"18","C. microphthalma",0.00066861699240607,358823.529411765,37058.8235294118,3.34232664884135,0.906897504456328,0.851450534759358,0.25474785208517,77.2562214057847,148.48817688151,-15.71,0.356,-15.604,3.362,9.07953147925753,7.9075946965251,25.10322581,0.186429381,23.55455652,5.33163119,"1"
"19","C. microphthalma",0.00162708083081579,312727.272727272,39636.3636363636,2.94048848484848,0.816145454545454,0.614119999999999,0.208849653098248,43.2899314951732,123.875972011161,-19.319,1.371,-18.853,1.954,8.08001796501491,7.93773632549768,25.10322581,0.186429381,8.22187065,2.703807284,"1"
"20","C. microphthalma",0.00185197288805994,341777.777777777,28888.8888888889,4.02086222222222,1.46700148148148,0.594562962962962,0.147869519049167,41.0731253262019,90.2578964158153,-17.415,2.442,-17.507,3.243,7.76779773750723,7.7030031251487,25.10322581,0.186429381,8.22187065,2.703807284,"1"
"21","C. microphthalma",0.00164006233870589,233000,59666.6666666666,3.527665,1.52988944444444,0.705069444444444,0.199868594224351,40.6092026986892,95.7049748359878,-13.999,1.83,-14.101,2.702,9.67248672278623,9.48588820364109,28.34967213,1.07605602,44.06271592,4.294457341,"1"
"22","C. microphthalma",0.00147574210018677,360655.737704918,22295.0819672131,3.02514207650273,0.718555737704919,0.580310382513662,0.191829133256624,48.261230292062,180.63644668616,-17.688,-2.277,-16.573,2.908,8.28341800057879,7.50060229881392,28.34967213,1.07605602,44.06271592,4.294457341,"1"
"23","C. microphthalma",0.0019816152232523,302857.142857143,39183.6734693877,4.51149659863945,2.56537482993197,0.378240816326531,0.0838393220645668,24.9776416958651,78.8228184967003,-17.461,2.881,-17.461,3.726,94.1645069845348,9.67279025592946,28.34967213,1.07605602,19.06912032,4.17121641,"1"
